subj_idx,status,runid,condition,cue,coherence,image_index,stim,rt,response,stimulus_side
2,inside,2,2,invalid,high,1,0,0.632066890289934,1,1
2,inside,2,3,valid,low,48,0,0.751307803984218,1,0
2,inside,2,3,valid,low,68,1,0.639913406274218,0,1
2,inside,2,4,invalid,low,46,0,0.598099547192078,1,1
2,inside,2,1,valid,high,10,0,0.551268240810714,1,1
2,inside,2,4,invalid,low,65,1,0.65013334474861,1,0
2,inside,2,4,invalid,low,39,0,0.568660521709717,1,1
2,inside,2,3,valid,low,52,0,0.699383575689581,1,0
2,inside,2,4,invalid,low,51,0,0.7771338953186842,1,1
2,inside,2,4,invalid,low,59,1,0.8143233197520201,1,0
2,inside,2,1,valid,high,9,0,0.7179699258881559,1,1
2,inside,2,3,valid,low,54,0,0.575780323492836,1,0
2,inside,2,4,invalid,low,42,0,0.893105692734707,1,0
2,inside,2,3,valid,low,72,1,0.667971738290589,0,1
2,inside,2,3,valid,low,46,0,0.49301567675320296,1,1
2,inside,2,4,invalid,low,72,1,0.6812059789958771,1,1
2,inside,2,3,valid,low,60,1,2.8683444085397705,0,1
2,inside,2,1,valid,high,3,0,0.6936150644235111,1,1
2,inside,3,1,valid,high,7,0,0.9148734538089229,1,1
2,inside,3,2,invalid,high,7,0,0.555626946898201,1,1
2,inside,3,3,valid,low,45,0,0.6997315984967829,0,1
2,inside,3,1,valid,high,25,1,0.68467924196375,1,0
2,inside,3,4,invalid,low,49,0,0.6820618731085228,1,1
2,inside,3,2,invalid,high,34,1,0.640371784829995,1,1
2,inside,3,2,invalid,high,32,1,0.545083683695793,1,0
2,inside,3,1,valid,high,29,1,1.6094784683559702,1,1
2,inside,3,3,valid,low,72,1,0.6965157294393979,0,1
2,inside,3,3,valid,low,70,1,0.6484076143142371,1,0
2,inside,3,3,valid,low,52,0,0.6741210536638389,1,1
2,inside,3,4,invalid,low,66,1,0.8087239098367719,1,1
2,inside,3,3,valid,low,46,0,0.9849103850183379,0,0
2,inside,3,3,valid,low,42,0,1.04087904585413,0,1
